stock_ticker,price_change,recommendation_id,previous_close,latest_close,sentiment_summary,timestamp,experiment_day
AAPL,-0.8633334816283614,h9pVCttG6GpJ2TBzmMXC,238.02999877929688,235.97500610351562,"{'negative': 169.23979999999997, 'neutral': 192.76960000000008, 'positive': 173.88550000000012}",2025-03-04T21:55:51.021047,41
AAPL,-2.3711511664317633,xNwv4XbSNvJ3qoSKG3g1,233.22000122070312,227.69000244140625,"{'negative': 50.261199999999995, 'neutral': 40.2174, 'positive': 51.909999999999975}",2025-02-07T21:55:38.839839,8
TSLA,-3.1024201611016298,e4UKVYpngGOK1jLUn85r,292.0299987792969,282.9700012207031,"{'negative': 454.43879999999996, 'neutral': 594.0429000000005, 'positive': 217.57609999999985}",2025-04-30T21:55:42.374578,90
TSLA,-2.1906436245994456,OJ3kWL6ubgi4wFJA3obQ,337.79998779296875,330.3999938964844,"{'negative': 158.40970000000002, 'neutral': 159.6333, 'positive': 112.96060000000001}",2025-02-24T21:55:37.886290,33
AAPL,0.0,QUpOwo0jezscp0LMfFx7,,,"{'negative': 87.9859, 'neutral': 95.64280000000001, 'positive': 83.54080000000002}",2025-02-19T09:29:48.866295,20
AAPL,-3.364366852013583,6AWMSD0KxC6iKHitTFJ6,216.97999572753906,209.67999267578125,"{'negative': 211.44229999999996, 'neutral': 238.01240000000016, 'positive': 213.16220000000007}",2025-03-13T21:56:37.338244,50
TSLA,-0.29607088371812856,EBqU3BZ6RRFVfGBhmvdO,263.45001220703125,262.6700134277344,"{'negative': 227.86629999999997, 'neutral': 239.13589999999996, 'positive': 137.763}",2025-03-08T00:16:17.480459,45
NVO,1.4707828060645474,BddRiI5a4DvJoy9xgsFF,74.79000091552734,75.88999938964844,"{'negative': 164.12290000000002, 'neutral': 332.7496999999999, 'positive': 102.86299999999993}",2025-03-13T21:57:03.051425,50
MSFT,-1.030646840300122,b85WGEJDP5w8F8IeDBdb,371.6099853515625,367.7799987792969,"{'negative': 336.64020000000033, 'neutral': 343.80170000000015, 'positive': 432.93990000000076}",2025-04-18T21:56:04.117032,86
TSLA,-1.7084545439925924,UwW45Ugzgiaufv1i06Kb,360.55999755859375,354.3999938964844,"{'negative': 141.10680000000002, 'neutral': 150.73339999999996, 'positive': 102.82050000000004}",2025-02-20T22:31:20.939023,29
NVDA,-0.12194991132607202,tmXzT8g2abHJdzuehz6b,139.39999389648438,139.22999572753906,"{'negative': 108.32399999999998, 'neutral': 89.64369999999992, 'positive': 135.45280000000002}",2025-02-20T09:06:52.164774,29
NVO,3.8885287630145946,BEUxrNtiKShjb3tEXN9r,77.1500015258789,80.1500015258789,"{'negative': 174.11780000000007, 'neutral': 350.72090000000003, 'positive': 109.59159999999993}",2025-03-17T21:56:15.234496,54
TSLA,0.0,2VHSMATKKSsmVs3iABAl,,,"{'negative': 108.4625, 'neutral': 111.75709999999997, 'positive': 81.95190000000002}",2025-02-19T11:39:07.751648,20
MSFT,1.0623426083872378,lrZP7wHwzvhSQBWuKn78,392.5299987792969,396.70001220703125,"{'negative': 139.81529999999998, 'neutral': 143.11620000000002, 'positive': 202.20630000000008}",2025-02-28T21:55:55.563330,37
AAPL,1.8270140526221608,M2Lbc1UVwJXqUa8lHLwh,232.6199951171875,236.8699951171875,"{'negative': 69.6506, 'neutral': 64.36219999999997, 'positive': 61.74839999999998}",2025-02-13T00:28:31.048709,14
MSFT,-1.3133926493846477,mviy8uHESbLgWLIzGQnM,395.1600036621094,389.9700012207031,"{'negative': 237.02130000000002, 'neutral': 243.42500000000004, 'positive': 327.5297000000003}",2025-03-27T07:13:36.341551,64
NVO,0.5928588683886544,m1Zzu5cKSjoXHWMNvtMi,82.6500015258789,83.13999938964844,"{'negative': 10.050899999999999, 'neutral': 31.127699999999997, 'positive': 8.7561}",2025-02-04T17:51:34.859345,5
MSFT,-0.2862531348034906,M1k8C1ZBre7c1m3MF4xb,412.2200012207031,411.0400085449219,"{'negative': 51.39939999999999, 'neutral': 55.5207, 'positive': 69.9117}",2025-02-11T21:56:19.650837,12
NVO,1.8770218984709506,9yekHE6rZQZnIY9HnSnc,64.7300033569336,65.94499969482422,"{'negative': 270.2175000000002, 'neutral': 523.4001999999999, 'positive': 188.0536}",2025-04-14T21:56:18.877567,82
AAPL,0.0,oaCcxtIKYkmKO8G1OSmf,,,"{'negative': 91.8597, 'neutral': 101.15690000000001, 'positive': 92.35180000000001}",2025-02-19T11:35:43.403895,20
TSLA,3.8640532386444755,kRZ7I4aLYGQoSpgTV04J,240.67999267578125,249.97999572753906,"{'negative': 250.30179999999996, 'neutral': 302.3135999999998, 'positive': 140.6341}",2025-03-14T21:56:19.753709,51
MSFT,-0.23169632791331107,DGNpYNGlcXO9mp5RBosI,388.45001220703125,387.54998779296875,"{'negative': 315.0393000000004, 'neutral': 311.7960000000002, 'positive': 414.0250000000006}",2025-04-14T21:56:00.584647,82
AAPL,0.0,HQ7cpbey08CT4kwrXWRw,227.6300048828125,227.6300048828125,"{'negative': 56.9038, 'neutral': 48.43739999999999, 'positive': 54.84139999999997}",2025-02-10T21:57:11.399523,11
MSFT,0.6000581716169029,y7BdczzhHGyX748oJbvh,413.2900085449219,415.7699890136719,"{'negative': 37.211600000000004, 'neutral': 34.3512, 'positive': 52.4921}",2025-02-06T21:55:53.640603,7
NVDA,-0.6329364091114512,3o6fve1tfVltRNp6tcWI,133.57000732421875,132.72459411621094,"{'negative': 54.6896, 'neutral': 51.48080000000001, 'positive': 67.61850000000004}",2025-02-11T21:56:26.947706,12
AAPL,0.3136327526256274,L5VUxXFgmvyRyYW3Lzdn,223.19000244140625,223.88999938964844,"{'negative': 310.3066000000001, 'neutral': 317.35800000000023, 'positive': 287.3340000000002}",2025-04-02T23:02:59.372068,70
NVO,-0.2658216259147547,b07QbPT5CHvjXSsfo46m,79.0,78.79000091552734,"{'negative': 187.15610000000004, 'neutral': 377.71830000000017, 'positive': 120.2461999999999}",2025-03-20T21:56:25.362339,57
MSFT,-0.9020174249067225,K5Kh6YVLyO1OoyHKw1QF,396.8900146484375,393.30999755859375,"{'negative': 172.15279999999998, 'neutral': 164.36970000000005, 'positive': 239.4135}",2025-03-08T00:16:35.216916,45
